"'STATE","'LOCATION","'ID","'TAF","'TAF3","'AWS","'CEILOMETER","'VISMETER","'AWIS NO.","'AWIS FREQ.",
"'91.60156250","'94.58007813","'91.21093750","'87.10937500","'91.84570313","'92.04101563","'94.48242188","'93.11523438","'93.79882813","'92.43164063",
"'91.89453125","'94.92187500","'91.55273438","'87.45117188","'92.13867188","'92.38281250","'94.82421875","'93.40820313","'94.14062500","'92.77343750",
"'90.77148438","'93.75000000","'90.38085938","'86.32812500","'90.96679688","'91.21093750","'93.65234375","'92.23632813","'92.91992188","'91.60156250",
"'91.94335938","'94.97070313","'91.60156250","'87.45117188","'92.18750000","'92.43164063","'94.87304688","'93.45703125","'94.18945313","'92.82226563",
"'91.25976563","'94.23828125","'90.86914063","'86.81640625","'91.50390625","'91.74804688","'94.18945313","'92.77343750","'93.45703125","'92.08984375",
"'90.96679688","'93.99414063","'90.62500000","'86.52343750","'91.21093750","'91.45507813","'93.89648438","'92.48046875","'93.16406250","'91.84570313",
"'90.82031250","'93.79882813","'90.42968750","'86.37695313","'91.01562500","'91.25976563","'93.70117188","'92.28515625","'92.96875000","'91.65039063",
"'90.91796875","'93.94531250","'90.57617188","'86.52343750","'91.16210938","'91.40625000","'93.84765625","'92.43164063","'93.11523438","'91.79687500",
"'91.30859375","'94.28710938","'90.91796875","'86.86523438","'91.55273438","'91.79687500","'94.23828125","'92.82226563","'93.50585938","'92.13867188",
"'90.91796875","'93.94531250","'90.57617188","'86.52343750","'91.16210938","'91.40625000","'93.84765625","'92.43164063","'93.11523438","'91.79687500",
"'91.35742188","'94.33593750","'90.96679688","'86.91406250","'91.60156250","'91.84570313","'94.28710938","'92.87109375","'93.55468750","'92.18750000",
"'90.47851563","'93.45703125","'90.08789063","'86.08398438","'90.72265625","'90.91796875","'93.35937500","'91.94335938","'92.67578125","'91.30859375",
"'90.96679688","'93.99414063","'90.62500000","'86.52343750","'91.21093750","'91.45507813","'93.89648438","'92.48046875","'93.16406250","'91.84570313",
"'90.62500000","'93.60351563","'90.23437500","'86.18164063","'90.82031250","'91.06445313","'93.50585938","'92.08984375","'92.82226563","'91.45507813",
"'90.28320313","'93.26171875","'89.89257813","'85.88867188","'90.52734375","'90.77148438","'93.16406250","'91.74804688","'92.48046875","'91.11328125",
"'90.77148438","'93.75000000","'90.38085938","'86.32812500","'90.96679688","'91.21093750","'93.65234375","'92.23632813","'92.91992188","'91.60156250",
"'90.77148438","'93.75000000","'90.38085938","'86.32812500","'90.96679688","'91.21093750","'93.65234375","'92.23632813","'92.91992188","'91.60156250",
"'90.82031250","'93.79882813","'90.42968750","'86.37695313","'91.01562500","'91.25976563","'93.70117188","'92.28515625","'92.96875000","'91.65039063",
"'90.82031250","'93.79882813","'90.42968750","'86.37695313","'91.01562500","'91.25976563","'93.70117188","'92.28515625","'92.96875000","'91.65039063",
"'91.06445313","'94.09179688","'90.72265625","'86.62109375","'91.30859375","'91.55273438","'93.99414063","'92.57812500","'93.26171875","'91.89453125",
"'91.55273438","'94.53125000","'91.16210938","'87.06054688","'91.79687500","'91.99218750","'94.43359375","'93.06640625","'93.75000000","'92.38281250",
"'89.94140625","'92.91992188","'89.59960938","'85.59570313","'90.18554688","'90.42968750","'92.82226563","'91.45507813","'92.13867188","'90.77148438",
"'90.82031250","'93.79882813","'90.42968750","'86.37695313","'91.01562500","'91.25976563","'93.70117188","'92.28515625","'92.96875000","'91.65039063",
"'89.89257813","'92.82226563","'89.50195313","'85.49804688","'90.08789063","'90.33203125","'92.72460938","'91.35742188","'92.04101563","'90.72265625",
"'89.79492188","'92.72460938","'89.40429688","'85.40039063","'89.99023438","'90.23437500","'92.62695313","'91.25976563","'91.94335938","'90.62500000",
"'86.96289063","'89.79492188","'86.57226563","'82.71484375","'87.15820313","'87.40234375","'89.69726563","'88.37890625","'89.06250000","'87.74414063",
"'90.28320313","'93.26171875","'89.89257813","'85.88867188","'90.52734375","'90.77148438","'93.16406250","'91.74804688","'92.48046875","'91.11328125",
"'89.99023438","'92.96875000","'89.64843750","'85.59570313","'90.23437500","'90.47851563","'92.87109375","'91.50390625","'92.18750000","'90.82031250",
"'89.89257813","'92.82226563","'89.50195313","'85.49804688","'90.08789063","'90.33203125","'92.72460938","'91.35742188","'92.04101563","'90.72265625",
"'89.01367188","'91.94335938","'88.67187500","'84.66796875","'89.25781250","'89.50195313","'91.84570313","'90.47851563","'91.16210938","'89.84375000",
"'88.86718750","'91.74804688","'88.47656250","'84.52148438","'89.06250000","'89.30664063","'91.69921875","'90.28320313","'90.96679688","'89.64843750",
"'89.94140625","'92.91992188","'89.59960938","'85.59570313","'90.18554688","'90.42968750","'92.82226563","'91.45507813","'92.13867188","'90.77148438",
"'89.89257813","'92.87109375","'89.55078125","'85.54687500","'90.13671875","'90.38085938","'92.77343750","'91.40625000","'92.08984375","'90.72265625",
"'89.30664063","'92.23632813","'88.96484375","'84.96093750","'89.55078125","'89.74609375","'92.13867188","'90.77148438","'91.45507813","'90.13671875",
"'90.13671875","'93.11523438","'89.79492188","'85.74218750","'90.38085938","'90.62500000","'93.01757813","'91.65039063","'92.33398438","'90.96679688",
"'89.35546875","'92.28515625","'89.01367188","'85.00976563","'89.59960938","'89.79492188","'92.18750000","'90.82031250","'91.50390625","'90.18554688",
"'88.62304688","'91.50390625","'88.23242188","'84.27734375","'88.81835938","'89.06250000","'91.45507813","'90.08789063","'90.77148438","'89.45312500",
"'89.79492188","'92.72460938","'89.40429688","'85.40039063","'89.99023438","'90.23437500","'92.62695313","'91.25976563","'91.94335938","'90.62500000",
"'90.82031250","'93.79882813","'90.42968750","'86.37695313","'91.01562500","'91.25976563","'93.70117188","'92.28515625","'92.96875000","'91.65039063",
"'89.94140625","'92.91992188","'89.59960938","'85.59570313","'90.18554688","'90.42968750","'92.82226563","'91.45507813","'92.13867188","'90.77148438",
"'89.79492188","'92.72460938","'89.40429688","'85.40039063","'89.99023438","'90.23437500","'92.62695313","'91.25976563","'91.94335938","'90.62500000",
"'91.01562500","'94.04296875","'90.67382813","'86.57226563","'91.25976563","'91.50390625","'93.94531250","'92.52929688","'93.21289063","'91.89453125",
"'90.72265625","'93.70117188","'90.33203125","'86.27929688","'90.91796875","'91.16210938","'93.60351563","'92.18750000","'92.87109375","'91.55273438",
"'90.47851563","'93.45703125","'90.08789063","'86.08398438","'90.72265625","'90.91796875","'93.35937500","'91.94335938","'92.67578125","'91.30859375",
"'89.74609375","'92.67578125","'89.35546875","'85.35156250","'89.94140625","'90.18554688","'92.57812500","'91.21093750","'91.89453125","'90.57617188",
"'92.33398438","'95.36132813","'91.94335938","'87.84179688","'92.57812500","'92.82226563","'95.26367188","'93.84765625","'94.58007813","'93.16406250",
